city,city_cost_index,num_days,budget_tier,group_size,season,avg_place_rating,num_places,pct_history,pct_culture,pct_nature,pct_food,pct_nightlife,pct_shopping,total_cost_inr
Mumbai,1.4,8,medium,3,shoulder,3.37,24,0.202,0.196,0.435,0.011,0.146,0.01,55854.26
Singapore,2.9,7,high,4,peak,4.2,14,0.064,0.182,0.084,0.253,0.045,0.372,508125.75
New York,3.6,8,low,3,peak,3.48,16,0.183,0.104,0.338,0.189,0.064,0.123,142805.11
Shimla,0.95,2,medium,2,shoulder,3.99,4,0.226,0.176,0.012,0.184,0.22,0.182,10602.59
Rishikesh,0.75,7,low,5,peak,4.62,14,0.19,0.578,0.081,0.041,0.058,0.052,43386.0
Shimla,0.95,7,medium,6,shoulder,4.34,21,0.335,0.213,0.121,0.009,0.195,0.127,76950.05
Istanbul,1.8,9,low,5,peak,3.73,18,0.151,0.392,0.138,0.241,0.053,0.025,99754.62
Bengaluru,1.2,1,low,5,off_peak,3.49,3,0.192,0.039,0.395,0.266,0.068,0.041,5081.24
London,3.4,4,low,3,shoulder,4.84,8,0.312,0.207,0.113,0.187,0.073,0.108,55640.91
Mumbai,1.4,1,high,1,peak,3.75,2,0.139,0.06,0.099,0.311,0.222,0.169,8766.79
Goa,1.3,6,medium,4,off_peak,3.27,12,0.159,0.169,0.051,0.008,0.474,0.14,58586.06
Istanbul,1.8,6,low,4,peak,4.93,18,0.13,0.269,0.047,0.189,0.055,0.31,82135.57
Chennai,1.05,5,low,6,off_peak,3.99,10,0.003,0.192,0.303,0.07,0.411,0.02,31528.98
Goa,1.3,3,medium,5,shoulder,3.39,9,0.235,0.172,0.05,0.078,0.131,0.333,48755.25
Amsterdam,2.9,4,high,4,off_peak,3.66,8,0.251,0.057,0.035,0.214,0.265,0.178,179258.08
Goa,1.3,6,low,1,shoulder,3.87,18,0.015,0.235,0.142,0.409,0.175,0.024,13721.72
Rome,2.7,2,low,3,shoulder,3.55,6,0.064,0.109,0.509,0.268,0.049,0.002,18447.64
Manali,0.9,2,medium,6,off_peak,4.45,4,0.37,0.037,0.224,0.099,0.223,0.046,16927.21
Istanbul,1.8,4,medium,4,shoulder,3.72,12,0.284,0.007,0.306,0.264,0.089,0.049,54003.18
Jaipur,0.8,10,medium,2,shoulder,4.04,30,0.573,0.008,0.005,0.247,0.086,0.081,35314.95
Singapore,2.9,7,high,5,off_peak,3.87,21,0.031,0.177,0.276,0.344,0.039,0.132,281618.23
Tokyo,3.0,9,low,6,off_peak,3.46,18,0.083,0.086,0.02,0.546,0.053,0.211,193179.9
Shimla,0.95,2,low,5,peak,3.3,4,0.243,0.053,0.104,0.131,0.027,0.441,15496.5
Chennai,1.05,1,low,6,peak,4.23,2,0.198,0.011,0.095,0.418,0.02,0.258,11898.23
Amritsar,0.8,10,low,6,shoulder,4.96,30,0.364,0.158,0.197,0.125,0.022,0.133,56075.51
Istanbul,1.8,9,medium,5,shoulder,3.68,18,0.093,0.167,0.169,0.045,0.116,0.41,188459.95
Shimla,0.95,4,medium,2,shoulder,4.85,8,0.117,0.078,0.073,0.352,0.263,0.117,22671.45
Singapore,2.9,7,low,2,peak,4.45,21,0.45,0.006,0.161,0.014,0.356,0.013,59161.14
Bangkok,1.6,2,high,2,off_peak,4.61,6,0.061,0.131,0.067,0.249,0.006,0.487,31604.37
Goa,1.3,6,medium,3,off_peak,4.58,12,0.371,0.154,0.257,0.11,0.019,0.089,46548.23
Agra,0.75,7,medium,6,shoulder,3.8,21,0.175,0.48,0.095,0.091,0.122,0.038,55558.91
Mumbai,1.4,10,medium,5,shoulder,4.2,20,0.457,0.228,0.051,0.07,0.115,0.079,145006.14
Amritsar,0.8,2,high,6,peak,4.26,6,0.273,0.001,0.057,0.14,0.236,0.293,50771.64
Jaipur,0.8,4,high,5,peak,4.99,12,0.214,0.092,0.305,0.004,0.381,0.005,81685.57
Rome,2.7,1,low,3,shoulder,3.56,2,0.533,0.299,0.011,0.001,0.023,0.134,7436.46
Amsterdam,2.9,3,high,2,shoulder,4.87,6,0.297,0.302,0.221,0.011,0.11,0.059,64628.06
Chennai,1.05,8,medium,1,peak,4.52,24,0.077,0.399,0.052,0.318,0.128,0.025,23355.84
Jaipur,0.8,1,high,3,peak,3.37,3,0.075,0.143,0.183,0.09,0.349,0.16,13879.77
Rishikesh,0.75,10,low,3,shoulder,4.37,30,0.248,0.016,0.57,0.097,0.056,0.013,21299.59
Amsterdam,2.9,3,low,4,shoulder,4.34,6,0.253,0.235,0.119,0.209,0.173,0.012,42022.5
Agra,0.75,5,low,1,off_peak,4.46,15,0.262,0.018,0.015,0.532,0.053,0.12,5544.46
Pune,1.0,4,medium,5,shoulder,4.86,12,0.056,0.093,0.542,0.071,0.154,0.084,40324.37
Delhi,1.1,1,high,5,peak,3.8,2,0.047,0.077,0.079,0.003,0.279,0.514,43328.68
Dubai,2.8,2,medium,5,off_peak,4.93,4,0.068,0.305,0.181,0.163,0.28,0.002,60550.39
Singapore,2.9,6,low,5,shoulder,4.98,12,0.368,0.155,0.092,0.146,0.169,0.07,116767.89
Delhi,1.1,5,medium,6,peak,4.83,10,0.01,0.114,0.19,0.06,0.368,0.259,104625.1
Manali,0.9,3,high,6,shoulder,4.41,9,0.198,0.032,0.083,0.221,0.196,0.27,79312.84
Pune,1.0,8,high,3,shoulder,4.26,24,0.314,0.083,0.023,0.136,0.418,0.026,101472.96
Jaipur,0.8,4,low,2,shoulder,4.01,8,0.072,0.122,0.007,0.197,0.404,0.198,9944.07
Bali,1.5,7,medium,6,shoulder,4.5,21,0.435,0.053,0.341,0.011,0.09,0.07,89378.16
Amsterdam,2.9,7,high,1,peak,4.52,21,0.124,0.102,0.08,0.003,0.546,0.145,162711.62
Rome,2.7,5,high,2,shoulder,3.35,10,0.225,0.112,0.261,0.23,0.004,0.168,104687.56
Hyderabad,1.05,2,medium,5,shoulder,4.76,6,0.194,0.325,0.001,0.081,0.395,0.004,26040.69
Manali,0.9,7,low,5,shoulder,4.41,14,0.025,0.211,0.063,0.457,0.1,0.145,45877.18
